,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.048387,-1.22043,-1.080645,-1.639785,-1.392473,-0.532258,-1.107527,-1.413978,-1.317204,-0.44086,-0.467742,-1.075269,-0.252688,-1.543011,-1.086022,-0.096774,0.091398,-2.408602,-1.494624,-0.247312
1,-0.015113,-0.352645,-0.916877,-0.594458,-2.516373,0.141058,-0.080605,-1.337531,-0.939547,-1.105793,-0.561713,-0.443325,-0.523929,-1.531486,-1.642317,-0.251889,-0.65995,-2.826196,-1.690176,-0.957179
2,-0.275,-0.470833,-0.304167,-0.845833,-1.970833,-0.183333,-0.3125,-1.391667,-1.0125,-0.954167,-0.9875,0.058333,-0.6875,-1.3375,-1.154167,-0.158333,-0.241667,-2.495833,-1.175,-0.925
3,-0.371212,-1.704545,-1.477273,-2.037879,-0.969697,-1.174242,-1.469697,-1.590909,-1.916667,-0.780303,-0.840909,-1.356061,-0.69697,-1.962121,-1.772727,-0.606061,-0.409091,-2.80303,-1.742424,-0.598485
4,0.076923,-1.807692,-1.634615,-2.067308,-0.836538,-1.355769,-1.673077,-1.442308,-2.0,-0.557692,-0.721154,-1.5,-0.528846,-1.769231,-1.846154,-0.557692,-0.365385,-2.605769,-1.644231,-0.163462
5,-0.086957,-1.721739,-1.478261,-2.226087,-0.956522,-1.226087,-1.686957,-1.808696,-1.843478,-0.191304,-0.4,-1.408696,-0.278261,-1.382609,-1.4,-0.208696,0.06087,-2.626087,-1.46087,-0.095652
6,-0.073034,-1.370787,-1.202247,-1.837079,-1.426966,-0.775281,-1.230337,-1.432584,-1.483146,-0.629213,-0.780899,-1.106742,-0.494382,-1.488764,-1.095506,-0.05618,0.0,-2.449438,-1.398876,-0.449438
7,0.087562,-0.921393,0.058706,-0.360199,-1.78408,-0.316418,-0.315423,-0.348259,-1.116418,-1.352239,-1.552239,-0.491542,-1.122388,-2.00796,-0.433831,0.804975,1.010945,-2.476617,-1.604975,-0.915423
8,-0.361809,-0.876884,-0.407035,-0.919598,-1.512563,-0.432161,-0.48995,-1.339196,-0.947236,-0.791457,-0.798995,-0.59799,-0.530151,-1.276382,-1.188442,-0.002513,-0.085427,-2.28392,-1.19598,-0.738693
9,-0.295031,-0.611801,-0.52795,-0.900621,-2.152174,-0.335404,-0.667702,-1.093168,-0.801242,-1.142857,-1.152174,-0.440994,-0.813665,-1.074534,-1.465839,-0.111801,-0.487578,-1.934783,-0.86646,-1.046584
